date_creation,fid,s109_5,s120_3,s3_5,year,quarter
2019-04-24,159064,0,0,0,2019,1
2019-04-15,164021,0,0,0,2019,1
2019-04-20,166110,0,5201859,0,2019,1
2019-07-26,167950,0,70411,0,2019,1
2019-04-11,172273,0,0,0,2019,1
2019-04-24,177761,0,230545,0,2019,1
2019-04-22,178750,0,0,0,2019,1
2019-08-06,184199,0,4169814,0,2019,1
2019-04-23,184459,0,0,0,2019,1
2019-04-25,186520,0,1977028,0,2019,1
2019-04-24,187165,0,10147782,0,2019,1
2019-05-21,189093,0,2016,0,2019,1
2019-04-22,198213,0,0,0,2019,1
2019-04-25,198632,0,333887,0,2019,1
2019-04-15,198747,0,0,0,2019,1
2019-04-05,9509,0,0,0,2019,1
2019-04-25,10083,0,0,0,2019,1
2019-04-23,10275,0,703795,0,2019,1
2019-04-01,22717,0,0,0,2019,1
2019-04-22,33229,0,461103,0,2019,1
2019-04-25,34462,0,1335007,0,2019,1
2019-04-14,36334,0,0,0,2019,1
2019-04-18,49976,0,0,0,2019,1
2019-04-23,50638,0,0,0,2019,1
2019-06-13,52267,0,1761665,0,2019,1
2019-04-25,55811,0,3330109,0,2019,1
2019-06-06,57212,0,911817,0,2019,1
2019-04-24,58046,0,0,0,2019,1
2019-04-08,65760,0,0,0,2019,1
2019-04-01,72026,0,0,0,2019,1
2019-04-17,77330,0,0,0,2019,1
2019-10-03,78573,0,1678051,0,2019,1
2019-04-13,79445,0,0,0,2019,1
2019-04-07,80288,0,0,0,2019,1
2019-04-18,80577,0,0,0,2019,1
2019-04-22,82934,0,373251,0,2019,1
2019-04-22,83895,0,906283,0,2019,1
2019-04-23,84102,0,0,0,2019,1
2019-04-22,86143,0,0,0,2019,1
2019-04-18,88505,0,0,0,2019,1
2019-04-03,88535,0,0,0,2019,1
2019-04-25,89347,0,389316,0,2019,1
2019-04-10,92743,0,0,0,2019,1
2019-04-10,93251,0,0,0,2019,1
2019-08-16,94362,0,19538209,0,2019,1
2019-04-25,95731,0,414345,0,2019,1
2019-04-17,96602,0,161202,0,2019,1
2019-04-25,97958,0,71410,0,2019,1
2019-04-19,99354,0,134239,0,2019,1
2019-06-06,101955,0,47692,0,2019,1
2019-04-24,105452,0,0,0,2019,1
2019-04-25,105752,0,0,0,2019,1
2019-06-18,107548,0,2836990,0,2019,1
2019-04-24,110190,0,476579,0,2019,1
2019-04-04,113930,0,0,0,2019,1
2019-06-17,116198,0,357531,0,2019,1
2019-04-24,117091,0,0,0,2019,1
2019-04-24,118604,0,1159794,0,2019,1
2020-10-20,119083,0,0,0,2019,1
2019-04-24,122887,0,1214920,0,2019,1
2019-04-05,123116,0,48586,0,2019,1
2019-04-25,123488,0,3355757,0,2019,1
2019-04-24,126404,0,1239903,0,2019,1
2019-11-11,126505,0,18394147,0,2019,1
2019-04-25,127918,0,0,0,2019,1
2019-04-23,128370,0,0,0,2019,1
2019-04-25,128755,0,0,0,2019,1
2019-07-09,131789,0,13172230,0,2019,1
2019-04-17,136084,0,0,0,2019,1
2019-04-24,138446,0,291284,0,2019,1
2019-04-04,138860,0,111505,0,2019,1
2019-04-24,147218,0,0,0,2019,1
2019-04-24,150074,0,0,0,2019,1
2019-04-01,150670,0,0,0,2019,1
2019-04-25,153696,0,0,0,2019,1
2019-04-24,161424,0,1827077,0,2019,1
2019-04-01,161897,0,0,0,2019,1
2019-04-10,162422,0,0,0,2019,1
2019-04-25,162696,0,48238,0,2019,1
2019-06-24,163991,0,518476,0,2019,1
2019-04-15,168437,0,0,0,2019,1
2019-04-05,168783,0,0,0,2019,1
2019-04-25,171289,0,917392,0,2019,1
2019-04-13,174924,0,50057,0,2019,1
2019-04-02,178010,0,0,0,2019,1
2019-04-10,181131,0,0,0,2019,1
2019-04-16,192679,0,0,0,2019,1
2019-04-21,193018,0,1805052,0,2019,1
2019-04-11,193450,0,0,0,2019,1
2020-03-10,197799,0,111722910,0,2019,1
2019-04-05,125618,0,58985,0,2019,1
2019-10-23,126688,0,11016,0,2019,1
2019-04-25,135970,0,0,0,2019,1
2019-04-10,137036,0,0,0,2019,1
2019-04-06,141531,0,20451,0,2019,1
2019-04-08,143048,0,0,0,2019,1
2019-05-22,143374,0,226937,0,2019,1
2019-04-20,143935,0,0,0,2019,1
2019-04-25,146127,0,4944482,0,2019,1
2019-04-04,151640,0,0,0,2019,1
2021-07-20,152486,0,0,0,2019,1
2019-04-17,154037,0,0,0,2019,1
2019-04-24,154300,0,0,0,2019,1
2019-04-25,155666,0,418023,0,2019,1
2019-04-10,155711,0,0,0,2019,1
2019-06-03,155844,0,554962,0,2019,1
2019-04-22,163640,0,0,0,2019,1
2019-04-25,164225,0,711430,0,2019,1
2019-04-16,164540,0,0,0,2019,1
2019-04-17,166038,0,0,0,2019,1
2019-07-05,168281,0,0,0,2019,1
2019-06-11,176514,0,971970,0,2019,1
2019-04-12,177819,0,0,0,2019,1
2019-04-16,182542,0,0,0,2019,1
2019-04-15,185140,0,5542,0,2019,1
2019-04-22,187816,0,70142,0,2019,1
2019-04-24,192591,0,1110886,0,2019,1
2019-04-08,192674,0,0,0,2019,1
2019-05-29,171591,0,1391203,0,2019,1
2019-04-18,178360,0,81851,0,2019,1
2019-04-24,179067,0,751369,0,2019,1
2019-04-18,180053,0,0,0,2019,1
2019-04-23,182188,0,900,0,2019,1
2019-04-08,184971,0,17097,0,2019,1
2021-06-25,185048,0,4266778,0,2019,1
2019-09-26,185562,0,4166434,0,2019,1
2019-12-17,190131,0,0,0,2019,1
2019-04-24,190832,0,57027,0,2019,1
2019-04-25,194282,0,361651,0,2019,1
2019-08-07,197874,0,1075344,0,2019,1
2019-04-24,6508,0,624079,0,2019,1
2019-04-18,8562,0,0,0,2019,1
2019-04-25,14752,0,0,0,2019,1
2019-04-25,19755,0,1170777,0,2019,1
2019-04-17,22253,0,494378,0,2019,1
2019-04-04,23321,0,0,0,2019,1
2019-04-24,27331,0,6479777,0,2019,1
2019-04-23,28200,0,0,0,2019,1
2019-04-25,29986,0,211546,0,2019,1
2020-02-07,33788,0,4632268,0,2019,1
2019-05-15,40347,0,0,0,2019,1
2019-04-25,49219,0,0,0,2019,1
2019-04-09,49529,0,0,0,2019,1
2019-04-22,51202,0,107811,0,2019,1
2019-04-09,51532,0,0,0,2019,1
2019-04-24,57862,0,103257,0,2019,1
2019-04-16,58561,0,19456,0,2019,1
2019-04-06,64108,0,0,0,2019,1
2019-04-24,66578,0,459286,0,2019,1
2019-04-25,68893,0,0,0,2019,1
2019-04-08,69104,0,0,0,2019,1
2019-04-25,70185,0,0,0,2019,1
2019-04-25,73425,0,312185,0,2019,1
2019-04-11,74552,0,0,0,2019,1
2019-04-15,74555,0,0,0,2019,1
2019-04-25,75942,0,1670,0,2019,1
2019-07-16,76038,0,1052869,0,2019,1
2019-04-25,80612,0,0,0,2019,1
2019-04-17,82395,0,0,0,2019,1
2019-09-23,87170,0,0,0,2019,1
2019-04-09,89276,0,0,0,2019,1
2019-04-16,90987,0,0,0,2019,1
2019-04-22,91576,0,1581802,0,2019,1
2019-04-25,91624,0,4434098,0,2019,1
2019-04-18,93102,0,0,0,2019,1
2020-05-14,101056,0,2175452,0,2019,1
2019-04-17,102672,0,0,0,2019,1
2019-05-12,111290,0,0,0,2019,1
2019-04-25,112292,0,8824326,0,2019,1
2019-04-12,112875,0,0,0,2019,1
2019-04-10,120544,0,0,0,2019,1
2019-04-16,121333,0,0,0,2019,1
2019-04-23,123602,0,547036,0,2019,1
2019-04-06,123720,0,627284,0,2019,1
2019-04-21,127263,0,573870,0,2019,1
2019-10-18,130282,0,0,0,2019,1
2019-04-11,130408,0,0,0,2019,1
2019-04-02,131231,0,0,0,2019,1
2019-04-22,133613,0,750065,0,2019,1
2019-04-16,134172,0,0,0,2019,1
2019-04-22,134992,0,72846,0,2019,1
2019-04-24,137060,0,0,0,2019,1
2019-04-09,137913,0,0,0,2019,1
2019-04-02,147315,0,0,0,2019,1
2019-06-14,149744,0,0,0,2019,1
2019-04-25,153296,0,0,0,2019,1
2019-04-20,153417,0,0,0,2019,1
2019-04-09,155259,0,0,0,2019,1
2019-04-24,155715,0,377846,0,2019,1
2019-04-01,157841,0,0,0,2019,1
2019-04-11,162699,0,0,0,2019,1
2019-04-08,162809,0,0,0,2019,1
2019-04-19,163023,0,0,0,2019,1
2019-04-25,163525,0,353276,0,2019,1
2019-04-24,163700,0,1644021,0,2019,1
2019-04-23,169768,0,0,0,2019,1
2019-04-25,174060,0,660847,0,2019,1
2019-04-25,176247,0,0,0,2019,1
2020-05-08,177202,0,5330881,0,2019,1
2019-04-23,183918,0,1644504,0,2019,1
2019-04-18,184694,0,0,0,2019,1
2019-04-13,187046,0,0,0,2019,1
2019-04-04,188621,0,0,0,2019,1
2020-03-27,189474,0,5003803,0,2019,1
2019-04-24,193014,0,133449,0,2019,1
2019-04-26,198803,0,0,0,2019,1
2019-04-17,5888,0,351606,0,2019,1
2019-04-01,7849,0,0,0,2019,1
2019-04-26,14082,0,0,0,2019,1
2019-04-24,14109,0,1666891,0,2019,1
2019-04-23,23345,0,5828753,0,2019,1
2019-04-25,27145,0,2470374,0,2019,1
2019-07-12,28250,0,249420,0,2019,1
2019-04-12,33639,0,0,0,2019,1
2019-04-24,37060,0,0,0,2019,1
2020-08-20,38005,0,122557,0,2019,1
2019-07-18,40723,0,669979,0,2019,1
2019-04-15,40872,0,0,0,2019,1
2019-04-09,45868,0,0,0,2019,1
2019-04-10,46149,0,0,0,2019,1
2019-04-02,50687,0,0,0,2019,1
2019-04-04,51359,0,0,0,2019,1
2019-04-19,54225,0,27097,0,2019,1
2019-04-24,57523,0,5952621,0,2019,1
2021-03-21,61300,0,4999115,0,2019,1
2019-04-12,61579,0,5373,0,2019,1
2019-04-16,66200,0,0,0,2019,1
2019-04-25,66456,0,114670,0,2019,1
2019-04-06,66562,0,0,0,2019,1
2019-04-11,77647,0,0,0,2019,1
2019-04-18,79941,0,7487,0,2019,1
2019-04-18,85211,0,0,0,2019,1
2019-04-23,88331,0,0,0,2019,1
2019-06-13,93291,0,1325869,0,2019,1
2019-04-17,94760,0,147566,0,2019,1
2019-04-25,96725,0,6024114,0,2019,1
2019-04-03,103915,0,0,0,2019,1
2019-04-12,110543,0,0,0,2019,1
2020-03-27,111318,0,345641,0,2019,1
2019-04-16,118640,0,199432,0,2019,1
2019-04-28,121562,0,327796,0,2019,1
2019-04-25,122329,0,155448,0,2019,1
2019-05-17,123340,0,0,0,2019,1
2019-04-18,125090,0,0,0,2019,1
2019-07-02,125108,0,726653,0,2019,1
2019-04-23,126138,0,66304,0,2019,1
2019-04-16,130309,0,0,0,2019,1
2019-04-16,131399,0,0,0,2019,1
2019-04-18,136113,0,5256,0,2019,1
2019-04-16,138371,0,0,0,2019,1
2019-04-12,141953,0,0,0,2019,1
2021-06-21,157189,0,261507682,0,2019,1
2019-04-19,159152,0,1585016,0,2019,1
